doc_id,entity,entity_type,source,method,confidence,evidence
168859,"Thanh tra, giám sát ngân hàng",LinhVuc,metadata,rule,1.0,"Metadata gốc: linh_vuc = Thanh tra, giám sát ngân hàng"
150974,Bộ Tài chính,CoQuan,metadata,rule,1.0,Metadata gốc: co_quan_ban_hanh = Bộ Tài chính
150974,Tạ Anh Tuấn,NguoiKy,metadata,rule,1.0,Metadata gốc: nguoi_ky = Tạ Anh Tuấn
150974,"Kế toán, kiểm toán",LinhVuc,metadata,rule,1.0,"Metadata gốc: linh_vuc = Kế toán, kiểm toán"
164719,Ngân hàng Nhà nước Việt Nam,CoQuan,metadata,rule,1.0,Metadata gốc: co_quan_ban_hanh = Ngân hàng Nhà nước Việt Nam
164719,Đoàn Thái Sơn,NguoiKy,metadata,rule,1.0,Metadata gốc: nguoi_ky = Đoàn Thái Sơn
164719,"Thanh tra, giám sát ngân hàng",LinhVuc,metadata,rule,1.0,"Metadata gốc: linh_vuc = Thanh tra, giám sát ngân hàng"
173695,Ngân hàng Nhà nước Việt Nam,CoQuan,metadata,rule,1.0,Metadata gốc: co_quan_ban_hanh = Ngân hàng Nhà nước Việt Nam
173695,Đoàn Thái Sơn,NguoiKy,metadata,rule,1.0,Metadata gốc: nguoi_ky = Đoàn Thái Sơn
173695,"Thanh tra, giám sát ngân hàng",LinhVuc,metadata,rule,1.0,"Metadata gốc: linh_vuc = Thanh tra, giám sát ngân hàng"
186482,Ngân hàng Nhà nước Việt Nam,CoQuan,metadata,rule,1.0,Metadata gốc: co_quan_ban_hanh = Ngân hàng Nhà nước Việt Nam
186482,Đoàn Thái Sơn,NguoiKy,metadata,rule,1.0,Metadata gốc: nguoi_ky = Đoàn Thái Sơn
186482,Cục An toàn hệ thống các tổ chức tín dụng,LinhVuc,metadata,rule,1.0,Metadata gốc: linh_vuc = Cục An toàn hệ thống các tổ chức tín dụng
112924,Bộ Tài chính,CoQuan,metadata,rule,1.0,Metadata gốc: co_quan_ban_hanh = Bộ Tài chính
112924,Trần Xuân Hà,NguoiKy,metadata,rule,1.0,Metadata gốc: nguoi_ky = Trần Xuân Hà
174218,Ngân hàng Nhà nước Việt Nam,CoQuan,metadata,rule,1.0,Metadata gốc: co_quan_ban_hanh = Ngân hàng Nhà nước Việt Nam
174218,Đoàn Thái Sơn,NguoiKy,metadata,rule,1.0,Metadata gốc: nguoi_ky = Đoàn Thái Sơn
174218,"Thanh tra, giám sát ngân hàng",LinhVuc,metadata,rule,1.0,"Metadata gốc: linh_vuc = Thanh tra, giám sát ngân hàng"
186888,Ngân hàng Nhà nước Việt Nam,CoQuan,metadata,rule,1.0,Metadata gốc: co_quan_ban_hanh = Ngân hàng Nhà nước Việt Nam
186888,Đoàn Thái Sơn,NguoiKy,metadata,rule,1.0,Metadata gốc: nguoi_ky = Đoàn Thái Sơn
186888,Cục An toàn hệ thống các tổ chức tín dụng,LinhVuc,metadata,rule,1.0,Metadata gốc: linh_vuc = Cục An toàn hệ thống các tổ chức tín dụng
6e689cd0-6f81-11f1-94d6-fd5d6d5ff793,Ngân hàng Nhà nước Việt Nam,CoQuan,metadata,rule,1.0,Metadata gốc: co_quan_ban_hanh = Ngân hàng Nhà nước Việt Nam
6e689cd0-6f81-11f1-94d6-fd5d6d5ff793,Đoàn Thái Sơn,NguoiKy,metadata,rule,1.0,Metadata gốc: nguoi_ky = Đoàn Thái Sơn
185630,Ngân hàng Nhà nước Việt Nam,CoQuan,metadata,rule,1.0,Metadata gốc: co_quan_ban_hanh = Ngân hàng Nhà nước Việt Nam
185630,Đoàn Thái Sơn,NguoiKy,metadata,rule,1.0,Metadata gốc: nguoi_ky = Đoàn Thái Sơn
185630,"Lao động, tiền lương, tiền công",LinhVuc,metadata,rule,1.0,"Metadata gốc: linh_vuc = Lao động, tiền lương, tiền công"
117310,Ngân hàng Nhà nước Việt Nam,CoQuan,metadata,rule,1.0,Metadata gốc: co_quan_ban_hanh = Ngân hàng Nhà nước Việt Nam
117310,Nguyễn Đồng Tiến,NguoiKy,metadata,rule,1.0,Metadata gốc: nguoi_ky = Nguyễn Đồng Tiến
117310,"Thanh tra, giám sát ngân hàng",LinhVuc,metadata,rule,1.0,"Metadata gốc: linh_vuc = Thanh tra, giám sát ngân hàng"
166269,Quốc hội,CoQuan,metadata,rule,1.0,Metadata gốc: co_quan_ban_hanh = Quốc hội
166269,Vương Đình Huệ,NguoiKy,metadata,rule,1.0,Metadata gốc: nguoi_ky = Vương Đình Huệ
177271,Ngân hàng Nhà nước Việt Nam,CoQuan,metadata,rule,1.0,Metadata gốc: co_quan_ban_hanh = Ngân hàng Nhà nước Việt Nam
177271,Đoàn Thái Sơn,NguoiKy,metadata,rule,1.0,Metadata gốc: nguoi_ky = Đoàn Thái Sơn
177271,Cục An toàn hệ thống các tổ chức tín dụng,LinhVuc,metadata,rule,1.0,Metadata gốc: linh_vuc = Cục An toàn hệ thống các tổ chức tín dụng
44209,Ngân hàng Nhà nước Việt Nam,CoQuan,metadata,rule,1.0,Metadata gốc: co_quan_ban_hanh = Ngân hàng Nhà nước Việt Nam
44209,Đào Minh Tú,NguoiKy,metadata,rule,1.0,Metadata gốc: nguoi_ky = Đào Minh Tú
44209,Phát hành và kho quỹ,LinhVuc,metadata,rule,1.0,Metadata gốc: linh_vuc = Phát hành và kho quỹ
25692,Quốc hội,CoQuan,metadata,rule,1.0,Metadata gốc: co_quan_ban_hanh = Quốc hội
25692,Nguyễn Phú Trọng,NguoiKy,metadata,rule,1.0,Metadata gốc: nguoi_ky = Nguyễn Phú Trọng
